id,school_name,teacher,first_name,last_name,last_name_2,birth_date,start_date,occupation,belt
1,Tin,Heywood Lorriman,Heywood,Downie,Lorriman,2000-02-27 02:11:53,2023-08-27 17:48:34,Dental Hygienist,3 dan
2,Overhold,Darius Philbrick,Darius,Gerhartz,Philbrick,2006-02-27 09:43:26,2019-01-04 11:51:36,Software Engineer II,4 kup
3,Stringtough,Antoni Ashurst,Antoni,Faithfull,Ashurst,2001-11-10 20:49:16,2020-11-10 02:17:42,Associate Professor,4 dan
4,Toughjoyfax,Matteo Dooman,Matteo,McRoberts,Dooman,2009-01-18 20:22:23,2020-07-08 09:15:07,Assistant Professor,7 kup
5,Ventosanzap,Manya Monckton,Manya,Scotchmer,Monckton,2000-05-09 11:29:26,2019-09-04 21:04:43,Budget/Accounting Analyst I,1 dan
6,Cardify,Tedd Jeremaes,Tedd,Iredale,Jeremaes,2016-04-02 04:58:14,2024-05-03 07:21:50,Environmental Tech,2 kup
7,Y-Solowarm,Blondell Keating,Blondell,Bidgod,Keating,2012-05-21 18:22:27,2022-04-28 01:22:31,GIS Technical Architect,4 dan
8,Hatity,Dorella Picheford,Dorella,Watling,Picheford,2013-04-24 10:16:43,2022-11-21 07:21:33,Help Desk Technician,1 kup
9,Pannier,Janna Garrity,Janna,Jackalin,Garrity,2014-10-11 07:18:23,2021-05-31 20:44:27,Sales Associate,1 kup
10,Sonair,Upton Janjic,Upton,Munkton,Janjic,1998-12-15 03:49:12,2018-11-01 06:46:06,Information Systems Manager,4 dan
11,Tresom,Franny Greenhalgh,Franny,Cocher,Greenhalgh,2013-06-16 16:06:13,2024-06-11 21:03:47,Junior Executive,3 dan
12,Gembucket,Doug Cloonan,Doug,Wagenen,Cloonan,1996-10-28 21:38:25,2023-04-15 08:26:28,Office Assistant I,ieby
13,Keylex,Terri-jo Toplis,Terri-jo,Dewhurst,Toplis,2009-07-16 03:05:28,2018-07-25 23:46:10,Environmental Specialist,4 kup
14,Temp,Shanon Trudgian,Shanon,Ahmed,Trudgian,2016-10-14 05:08:49,2020-01-23 23:21:24,Senior Cost Accountant,7 kup
15,Trippledex,Heda Clemerson,Heda,Rutledge,Clemerson,1997-10-19 16:06:28,2019-01-28 13:56:03,Automation Specialist II,4 kup
